id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
6,6,forced,10,30,learn,4,3,0,1,0.400,0.318,0
6,6,forced,10,31,learn,2,2,1,1,0.800,0.714,0
6,6,forced,10,32,learn,6,6,0,0,0.600,0.706,0
6,6,forced,10,33,learn,6,6,0,0,0.200,0.357,0
6,6,forced,10,34,learn,4,4,1,1,0.100,0.187,0
6,6,forced,10,35,learn,5,6,0,0,0.300,0.414,0
6,6,forced,10,36,learn,1,1,1,1,0.600,0.680,0
6,6,forced,10,37,learn,4,4,1,1,1,1.046,0
6,6,forced,10,38,learn,7,8,0,1,0.500,0.482,0
6,6,forced,10,39,learn,5,5,1,1,1.200,1.168,0
6,6,forced,10,40,learn,1,1,1,1,0.700,0.755,0
6,6,forced,10,41,learn,1,1,0,0,0.300,0.572,0
6,6,forced,10,42,learn,7,3,0,0,0.500,0.649,0
