rt,time_elapsed,subject,subID,group,day,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy,responses
null,674485,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
417,674911,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,192,1,0,0,,,
null,675022,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
485,675516,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,193,1,0,0,,,
null,675628,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
498,676135,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,194,1,0,0,,,
null,676245,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
612,676870,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,195,1,0,0,,,
null,676980,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
556,677545,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,196,1,0,0,,,
null,677658,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
458,678127,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,197,1,0,0,,,
null,678236,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
763,679010,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,198,1,0,0,,,
null,679121,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
423,679555,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,199,1,0,0,,,
null,679666,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
530,680206,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,200,1,0,0,,,
null,680315,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
491,680816,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,201,1,0,0,,,
null,680924,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
484,681417,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,202,1,0,0,,,
null,681529,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
564,682102,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,203,1,0,0,,,
null,682213,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
490,682713,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,204,1,0,0,,,
